model_name,target,loss,r2,split,extract_layer,base_target,bin_num,bin_method,800_id,400_id,200_id,MAE,MAD,MADMAE
hk_h2o->hk_co2_3_extract0,hk_co2,0.4090449512004852,0.6119319220041786,0.03,0,hk_h2o,,,487,199,85,0.42436603468632783,0.7664751978727791,1.806165280026058
hk_h2o->hk_co2_1_extract0,hk_co2,0.384674459695816,0.5574934571456774,0.01,0,hk_h2o,,,461,181,85,0.47352436066808645,0.7664751978727791,1.6186605411205748
hk_h2o->hk_n2_100_extract0,hk_n2,0.2157027125358581,0.7819358153105522,1.0,0,hk_h2o,,,644,301,138,0.13308108115750827,0.29849026706545106,2.2429203645570968
hk_h2o->hk_n2_50_extract0,hk_n2,0.2203078418970108,0.7744124977849376,0.5,0,hk_h2o,,,630,290,136,0.13493669028659705,0.29849026706545106,2.2120763925028584
hk_h2o->hk_n2_30_extract0,hk_n2,0.2304146438837051,0.7630076249858624,0.3,0,hk_h2o,,,619,289,132,0.13704400767134112,0.29849026706545106,2.178061428131103
hk_h2o->hk_n2_10_extract0,hk_n2,0.2438908517360687,0.7494521049786029,0.1,0,hk_h2o,,,603,279,124,0.13997938251993503,0.29849026706545106,2.1323873679964396
hk_h2o->hk_n2_5_extract0,hk_n2,0.2873085737228393,0.7249356737634702,0.05,0,hk_h2o,,,593,260,116,0.14825385518986353,0.29849026706545106,2.013372715894538
hk_h2o->hk_n2_3_extract0,hk_n2,0.2928530871868133,0.7092967190107258,0.03,0,hk_h2o,,,588,275,123,0.15300731119392777,0.29849026706545106,1.950823556968021
hk_h2o->hk_n2_1_extract0,hk_n2,0.351181298494339,0.6562768662351228,0.01,0,hk_h2o,,,556,254,107,0.16776240147663382,0.29849026706545106,1.7792441240597359
hk_h2o->hk_nh3_100_extract0,hk_nh3,0.222631573677063,0.7776612044293187,1.0,0,hk_h2o,,,602,269,121,1.0288103037806338,2.160383469599427,2.099885140788861
hk_h2o->hk_nh3_50_extract0,hk_nh3,0.2034875750541687,0.7982765746848359,0.5,0,hk_h2o,,,594,265,118,0.9110180879788604,2.160383469599427,2.3713947045687607
hk_h2o->hk_nh3_30_extract0,hk_nh3,0.2030457854270935,0.794358935046783,0.3,0,hk_h2o,,,591,268,117,0.9374180583590328,2.160383469599427,2.3046104673737746
hk_h2o->hk_nh3_10_extract0,hk_nh3,0.2073689997196197,0.7880590652599387,0.1,0,hk_h2o,,,592,254,112,0.9175327175069414,2.160383469599427,2.3545574216355756
hk_h2o->hk_nh3_5_extract0,hk_nh3,0.2413296103477478,0.7830237032726257,0.05,0,hk_h2o,,,580,248,106,0.9001041717502696,2.160383469599427,2.4001482688370617
hk_h2o->hk_nh3_3_extract0,hk_nh3,0.2414199411869049,0.7594061016627557,0.03,0,hk_h2o,,,588,244,103,0.9601249455190523,2.160383469599427,2.250106592565933
hk_h2o->hk_nh3_1_extract0,hk_nh3,0.2305263727903366,0.7599942696104558,0.01,0,hk_h2o,,,572,216,95,0.9420970905925498,2.160383469599427,2.2931643576572482
hk_h2o->hk_co2_100_extract1,hk_co2,0.4020787179470062,0.6091674300854654,1.0,1,hk_h2o,,,471,201,84,0.4435631116361447,0.7664751978727791,1.7279958088613994
hk_h2o->hk_co2_50_extract1,hk_co2,0.414423257112503,0.5982907809540524,0.5,1,hk_h2o,,,463,196,85,0.45112215671750366,0.7664751978727791,1.6990413493539667
hk_h2o->hk_co2_30_extract1,hk_co2,0.425160139799118,0.5809016249108544,0.3,1,hk_h2o,,,445,189,80,0.4646120046282947,0.7664751978727791,1.6497102748905188
hk_h2o->hk_co2_10_extract1,hk_co2,0.4612955749034881,0.5574795104358945,0.1,1,hk_h2o,,,433,179,78,0.46154745883438125,0.7664751978727791,1.6606638888414207
hk_h2o->hk_co2_5_extract1,hk_co2,0.4610196352005005,0.5455510705235826,0.05,1,hk_h2o,,,430,182,86,0.48376231187691154,0.7664751978727791,1.5844045289493345
hk_h2o->hk_co2_3_extract1,hk_co2,0.4958379864692688,0.5295896782209997,0.03,1,hk_h2o,,,420,175,74,0.492214505970334,0.7664751978727791,1.5571974994149702
hk_h2o->hk_co2_1_extract1,hk_co2,0.4426862597465515,0.490760259834781,0.01,1,hk_h2o,,,413,156,71,0.5229214504088991,0.7664751978727791,1.4657558936881108
hk_h2o->hk_n2_100_extract1,hk_n2,0.4021252989768982,0.5934723723249679,1.0,1,hk_h2o,,,538,235,100,0.18579458405863128,0.29849026706545106,1.6065606464139792
hk_h2o->hk_n2_50_extract1,hk_n2,0.4168210923671722,0.5731898309439327,0.5,1,hk_h2o,,,508,229,97,0.19052486772842045,0.29849026706545106,1.5666735299400787
hk_h2o->hk_n2_30_extract1,hk_n2,0.4412963986396789,0.5461057337526439,0.3,1,hk_h2o,,,503,222,80,0.19762758118383927,0.29849026706545106,1.5103674561891551
hk_h2o->hk_n2_10_extract1,hk_n2,0.4851822257041931,0.501574463294028,0.1,1,hk_h2o,,,482,205,78,0.20648467728388883,0.29849026706545106,1.4455807132607077
hk_h2o->hk_n2_5_extract1,hk_n2,0.5674636960029602,0.4567197430686415,0.05,1,hk_h2o,,,457,192,76,0.2171936856778684,0.29849026706545106,1.374304534378398
hk_h2o->hk_n2_3_extract1,hk_n2,0.5666296482086182,0.4375300736329501,0.03,1,hk_h2o,,,439,189,67,0.22070581165566142,0.29849026706545106,1.3524350121379975
hk_h2o->hk_n2_1_extract1,hk_n2,0.641345739364624,0.3722749752771518,0.01,1,hk_h2o,,,407,169,58,0.23393726719768734,0.29849026706545106,1.2759414976546408
hk_h2o->hk_nh3_100_extract1,hk_nh3,0.2185328006744384,0.7817545089170457,1.0,1,hk_h2o,,,591,252,111,0.9322816715022599,2.160383469599427,2.317307671744987
hk_h2o->hk_nh3_50_extract1,hk_nh3,0.2244902551174163,0.7774558768437094,0.5,1,hk_h2o,,,590,253,108,0.9600705177790257,2.160383469599427,2.250234154254772
hk_h2o->hk_nh3_30_extract1,hk_nh3,0.2225346863269806,0.774621019307307,0.3,1,hk_h2o,,,580,252,104,0.927052499924372,2.160383469599427,2.3303787755015697
hk_h2o->hk_nh3_10_extract1,hk_nh3,0.2271660268306732,0.7678255364878428,0.1,1,hk_h2o,,,577,238,107,0.9444375554096597,2.160383469599427,2.287481535676901
hk_h2o->hk_nh3_5_extract1,hk_nh3,0.2685778737068176,0.7585250971467044,0.05,1,hk_h2o,,,575,242,108,0.9653071118294669,2.160383469599427,2.2380270932688253
hk_h2o->hk_nh3_3_extract1,hk_nh3,0.257988691329956,0.7428940595387362,0.03,1,hk_h2o,,,574,213,94,0.9669782825535648,2.160383469599427,2.234159244915363
hk_h2o->hk_nh3_1_extract1,hk_nh3,0.2678635716438293,0.7211214707793492,0.01,1,hk_h2o,,,579,203,87,1.0341421802696142,2.160383469599427,2.089058459095235
hk_h2o->hk_co2_100_extract2,hk_co2,0.5290490388870239,0.4857486470305027,1.0,2,hk_h2o,,,411,162,67,0.5466628827740131,0.7664751978727791,1.4020984815785178
hk_h2o->hk_co2_50_extract2,hk_co2,0.5304482579231262,0.4858253227303645,0.5,2,hk_h2o,,,406,160,67,0.5511949309580988,0.7664751978727791,1.3905701138079691
hk_h2o->hk_co2_30_extract2,hk_co2,0.5106586813926697,0.4966221401937662,0.3,2,hk_h2o,,,414,157,64,0.5350186970522436,0.7664751978727791,1.432613854610644
hk_h2o->hk_co2_10_extract2,hk_co2,0.5282542705535889,0.4932458436613557,0.1,2,hk_h2o,,,404,158,67,0.5348698965747167,0.7664751978727791,1.4330124069072732
hk_h2o->hk_co2_5_extract2,hk_co2,0.5112229585647583,0.4960632448949776,0.05,2,hk_h2o,,,399,161,75,0.5130211351903223,0.7664751978727791,1.4940421462137803
hk_h2o->hk_co2_3_extract2,hk_co2,0.5351393818855286,0.4923036287302645,0.03,2,hk_h2o,,,409,159,67,0.5254893351237138,0.7664751978727791,1.458593251359385
hk_h2o->hk_co2_1_extract2,hk_co2,0.463769793510437,0.4665067790176461,0.01,2,hk_h2o,,,376,155,65,0.5351365345874962,0.7664751978727791,1.432298391780721
